_N,Country,Level,Year,Start_date,End_date,Subgroup_of_Hazards,Main_Type_of_Hazard,Hazard,Health_consequences,Scale,Geographical_Area,Exposure,Frequency,Seasonality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Likelihood,Severity,Vulnerability,Vulnerability_Details,Coping_capacity,Coping_capacity_details,Governance_and_Resouces,Health_Sector_Capacity,Non_Health_Sector_Capcity,Commuty_Capacity,Resources,Impact,Confidence_level,Risk_level,Risk_level_Number,Status
27,Madagascar,National,2022,7/18/2022,7/22/2022,Weather-related,Weather-related,Flood,"CD
(1) Noyade
(2) décès (au moins 0.001% de la population environ 206 personnes sont décédés pour la saison 2021_2022)
(3) environ 302 000 personnes sont affectées par des maladies d’origine hydrique et de vecteur, telles que le choléra, la typhoïde ou le paludisme, etc 
(3) Au niveau national, au moins 812 000 personnes sont affectées par l’IRA, dont environ 632 018 pour les 16 régions exposées par l’inondation.
(3) Au niveau national, environ 1  760 000 personnes sont affectées par le paludisme dont 1 417 173 pour les 16 régions exposées par l’inondation.
(4) Blessures
(5) Les systèmes de santé, les installations et les services perturbés, laissant des communautés sans accès aux soins de santé ( au moins 30 à 35% de la population soit  20 000 ménages n’ont pas accès aux services de santé ),
(6) Infrastructure de base endommagée, telle que la nourriture et les approvisionnements en eau et un abri sûr.
(7) Au niveau national, au moins 302 038 personnes sont affectées par la diarrhée, dont environ 201 481 pour les 16 régions exposées par l’inondation.",Sous-national,"16 Régions/ 23
SAVA, DIANA, MELAKY, BOENY, SOFIA, MENABE, ATSIMO ANDRAFANA, ATSIMO ATSINANA, FITOVINANY, HAUTE MATSIATRA, IHOROMBE, VATOVAVY, ATSINANANA, ANALANJIROFO, ANALAMANGA, ALAOTRA MANGORO",16036255,Pérenne,Oui,3,3,4,3,4,1,1,1,1,1,2,3,Presque sûr,Élevée,Partielle," Facteur de vulnérabilité communautaires
o Facteurs physiques : Précarité de l’état de santé, maladie (Diarrhée, paludisme, IRA), installation de la population dans les zones inondables, 
o Facteurs socio-économiques : taux d’alphabétisation Low (homme = 37.8%, femme = 35.8%), taux de pauvreté élevé (81%), 
o Facteurs environnementaux : système de drainage défaillant
 Vulnérabilité du système de santé 
o Accessibilité limité au système de santé
o Insuffisance de formation sanitaire de référence (CHDR, CHRD, CHR)
o Insuffisance de personnel de la santé (1/5000 alors que la norme est de 1/500)",Partielle,"Capacité d’adaptation générique
o Fort leadership 
o Existence du COUSP (centre opérationnel d’urgence de santé publique dont le siège est à la DVSSER)
o Existence du plan d’intervention
o Soutien opérationnel et logistique disponible
o Population sensibilisée 
• Capacité d’adaptation spécifique :
o Existence du SURECA (service des urgences et des ripostes aux épidémies et aux catastrophes), SEMI (service d'équipe mobile d'intervention), dans toutes les régions
o Existence du plan spécifique d’intervention 
o Existence du système de surveillance dédié
o Existence du logistique médical
o Disponibilité des matériels et stratégies de sensibilisation et d’éducation
o Disponibilité de personnel de santé
o Existence des partenaires techniques et financiers locaux
o Existence des ONG 
o Existence du BNGRC (bureau national de gestion des risques et catastrophes), y compris le CERVO (centre d’étude de réflexion de veille et orientation) et la direction des opérations en charge des réponses aux urgences et catastrophes
o Existence de la CPGU (cellule de prévention et gestion des urgences)

",,,,,,Modérer,Bon,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Geophysical,Geophysical,Landslide,"CD
(1) blessures, traumatismes
(2) Décès (cause la plus courante traumatisée / suffocation)
(5) Déplacement de la population
(3) Dommages causés aux maisons et aux infrastructures, y compris les établissements de santé (eau, électricité, lignes de communication)
CI
(4) impact mental et psychosocial
",Sous-national,"7 districts
4 ème et 6 ème arrondissements (Analamanga), Maroantsetra (Analanjirofo), Ifanadiana (Vatovavy), Ikongo (Fitovinany), Moramanga (Alaotra mangoro), Ambalavao",1865703,Rare,Oui,3,3,4,3,4,1,1,1,1,1,3,3,Probable,Very low,Élevée,"•  Facteur de vulnérabilité communautaires
o Facteurs physiques : installation de la population dans les zones à forts risques d’éboulement, système de canalisation et d’aménagement défaillant
o Facteurs socio-économiques : taux d’alphabétisation Low (homme = 37.8%, femme = 35.8%), taux de pauvreté élevé (81%), 
o Facteurs environnementaux : érosion, pluie à forte intensité
",Partielle,"Capacité d’adaptation générique
o Fort leadership 
o Existence du COUSP (centre opérationnel d’urgence de santé publique dont le siège est à la DVSSER)
o Existence du plan d’intervention
o Soutien opérationnel et logistique disponible
o Population sensibilisée 
• Capacité d’adaptation spécifique :
o Existence du SURECA (service des urgences et des ripostes aux épidémies et aux catastrophes), SEMI (service d'équipe mobile d'intervention), dans toutes les régions
o Existence du plan spécifique d’intervention 
o Existence du système de surveillance dédié
o Existence du logistique médical
o Disponibilité des matériels et stratégies de sensibilisation et d’éducation
o Disponibilité de personnel de santé
o Existence des partenaires techniques et financiers locaux
o Existence des ONG 
o Existence du BNGRC (bureau national de gestion des risques et catastrophes), y compris le CERVO (centre d’étude de réflexion de veille et orientation) et la direction des opérations en charge des réponses aux urgences et catastrophes
o Existence de la CPGU (cellule de prévention et gestion des urgences)

o Existence du système de surveillance dédié (IOGA, METEO)",,,,,,Modérer,Bon,Moderate,3,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Weather-related,Weather-related,Cyclone/high winds,"CD
(1) Noyade  
(2) décès (au moins 0.001% de la population environ 206 personnes sont décédés pour la saison 2021_2022)
(3) environ 302 000 personnes sont affectées par des maladies d’origine hydrique et de vecteur, telles que le choléra, la typhoïde ou le paludisme
, etc 
(3) Au niveau national, au moins 812 000 personnes sont affectées par l’IRA, dont environ 446 000 pour les 16 régions exposées par l’inondation.
(3) Au niveau national, environ 1  760 000 personnes sont affectées par le paludisme dont 1 417 173 pour les 16 régions exposées par l’inondation.
(4) Blessures
(5) Les systèmes de santé, les installations et les services perturbés, laissant des communautés sans accès aux soins de santé
 ( au moins 30 à 35% de la population soit  20 000 ménages n’ont pas accès aux services de santé ),
(6) Infrastructure de base endommagée, telle que la nourriture et les approvisionnements en eau et un abri sûr.
(6) Crues et dégâts correspondants liés aux débris, déchets, etc
(7) Ruptue de l'approvisionnement en services essentielles(électricité, eau potable ou eau domestique, etc)

",National,23 Régions,29036222,Pérenne,Oui,3,3,4,3,4,2,1,1,1,1,2,3,Presque sûr,Élevée,Élevée,"Facteur de vulnérabilité communautaires
o Facteurs physiques : Précarité de l’état de santé, maladie (Diarrhée, paludisme, IRA), installation de la population dans les zones inondables, 
o Facteurs socio-économiques : taux d’alphabétisation Low (homme = 37.8%, femme = 35.8%), taux de pauvreté élevé (81%), 
o Facteurs environnementaux : système de drainage défaillant
Vulnérabilité du système de santé 
o Accessibilité limité au système de santé
o Insuffisance de formation sanitaire de référence (CHDR, CHRD, CHR)
o Insuffisance de personnel de la santé (1/5000 alors que la norme est de 1/500)",Partielle,"Capacité d’adaptation générique
o Fort leadership 
o Existence du COUSP (centre opérationnel d’urgence de santé publique dont le siège est à la DVSSER)
o Existence du plan d’intervention
o Soutien opérationnel et logistique disponible
o Population sensibilisée 
• Capacité d’adaptation spécifique :
o Existence du SURECA (service des urgences et des ripostes aux épidémies et aux catastrophes), SEMI (service d'équipe mobile d'intervention), dans toutes les régions
o Existence du plan spécifique d’intervention 
o Existence du système de surveillance dédié
o Existence du logistique médical
o Disponibilité des matériels et stratégies de sensibilisation et d’éducation
o Disponibilité de personnel de santé
o Existence des partenaires techniques et financiers locaux
o Existence des ONG 
o Existence du BNGRC (bureau national de gestion des risques et catastrophes), y compris le CERVO (centre d’étude de réflexion de veille et orientation) et la direction des opérations en charge des réponses aux urgences et catastrophes
o Existence de la CPGU (cellule de prévention et gestion des urgences)

",,,,,,Sévère,Bon,Very High,5,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Weather-related,Weather-related,Drought,"CD
(1) Malnutrition (y compris la carence en micronutriments et l'anémie de carence en oligoéléments) et mortalité
(2) Insécurité alimentaire et eau
(3) Risque accru de maladies infectieuses Épidémies et des maladies liées à l'eau (choléra, diarrhée et pneumonie) et décès dû à la malnutrition, au manque de lavage et de déplacement
(4) Diminution du pouvoir d'achat des ménages et de la perturbation potentielle des services de santé
(5) Troubles accrus de stress et de santé mentale
(6) Risque supplémentaire pour les personnes touchées par les maladies pulmonaires, l'asthme ou les maladies chroniques (cœur, respiratoire)
(7) Migration de la population, forcée de quitter les zones locales
(8) Dilapidation des actifs et des moyens d'existence réduisant l'accès aux services de santé (accès économique, accès physique)
(9) Stratégies d'adaptation négative et de survie pouvant porter atteinte à l'intégrité physique
(10)  Au niveau national, au moins 812 000 personnes sont affectées par l’IRA, dont environ 53 485 pour les 3 régions exposées par la sècheresse.
(11) Au niveau national, au moins 302 038 personnes sont affectées par la diarrhée, dont environ 22 397 pour les 3 régions exposées par la sècheresse.
(12) Au niveau national, environ 1  760 000 personnes sont affectées par le paludisme dont 328 374 pour les 3 régions exposées par la sècheresse
",Sous-national,"3 REGIONS : ATSIMO ANDREFANA, ANDROY, ANOSY",4037000,Récurrente,Oui,3,3,3,3,3,3,3,3,3,3,3,3,Presque sûr,Low,Élevée,"Facteur de vulnérabilité communautaires
o Facteurs physiques : Précarité de l’état de santé, maladie (malnutrition, Diarrhée, paludisme, IRA)
o Facteurs socio-économiques : taux d’alphabétisation Low (homme = 37.8%, femme = 35.8%), taux de pauvreté élevé (81%), accessibilité limitée au système de santé
o Facteurs environnementaux : installation de la population dans les zones à Low quantité de précipitation 
Vulnérabilité du système de santé 
o Insuffisance de formation sanitaire de référence (CHDR, CHRD, CHR)
o Insuffisance de personnel de la santé (1/5000 alors que la norme est de 1/500)",Partielle,"Capacité d’adaptation générique
o Fort leadership 
o Existence du COUSP (centre opérationnel d’urgence de santé publique dont le siège est à la DVSSER)
o Existence du plan d’intervention
o Soutien opérationnel et logistique disponible
o Population sensibilisée 
• Capacité d’adaptation spécifique :
o Existence du SURECA (service des urgences et des ripostes aux épidémies et aux catastrophes), SEMI (service d'équipe mobile d'intervention), dans toutes les régions
o Existence du plan spécifique d’intervention 
o Existence du système de surveillance dédié
o Existence du logistique médical
o Disponibilité des matériels et stratégies de sensibilisation et d’éducation
o Disponibilité de personnel de santé
o Existence des partenaires techniques et financiers locaux
o Existence des ONG 
o Existence du BNGRC (bureau national de gestion des risques et catastrophes), y compris le CERVO (centre d’étude de réflexion de veille et orientation) et la direction des opérations en charge des réponses aux urgences et catastrophes
o Existence de la CPGU (cellule de prévention et gestion des urgences)
",,,,,,Modérer,Bon,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Technological,Technological,"Transportation accidents (RTA, Boat or Ferry capsize, air crash, maritime) ","Conséquences immediats: impact physique( décès, noyade, blessures, traumatisme, infirmité, invalidité/ incapacit), impact psychologique( psychose post traumatique), perturbation du systèmes de santé par l'inadequation du moyen disponible et le nombre de victime",National,tout le pays,"1. Circulation aerinene:  2000 passagers exposés par jours,   0-86 personnes exposés victmes d'ecrasément,  0-20 personnes sauveteurs exposés par jours.                                                                                            
2. Circulation routiere: environ 7 millions personnes exposés par jours ( passagers, population environnante)                                                                                                                                          
3. Circulation maritime: 133 equipages exposés par jours, 693 passagers exposés par jours, 0-10 personnes sauveteurs exposés par jours",Fortuite,Oui,4,3,2,1,1,1,1,1,1,2,3,4,Très probable,Modérer,Élevée," SYSTEME DE SANTE
-	Inaccessibilité/éloignement des formations sanitaires pour le recours aux soins
-	Dépourvu des formations sanitaires
-	Système de secours d’urgence/ Kits de soins d’urgence gratuite à échelle réduite, équipe médicale d’urgence non fonctionnelle
-	Couverture sanitaire universelle limitée au district pilote (Vatomandry)
-	Sécurité sociale des pêcheurs en cours de mise en place (Ministère du travail)
-	Evacuation sanitaire : non gratuite, inexistante
RESSOURCES (humaine, matérielle, financière)
-	Personnel de santé insuffisant (généraliste, urgentiste, secouriste, réanimateurs, ambulanciers, …
-	Matériels, infrastructures non disponibles et/ou insuffisants et/ou défectueux
-	Poste sanitaire mobile non disponible
CAPACITE D'ADAPTATION
-	Low leadership, coordination et centre des opérations d’urgence (surtout préparation et briefing)
-	Plan d’intervention et législation en place : ORSEC existante mais non spécifique pour accident de transport
-	Fonds de prévoyance pour les urgences : aérienne, maritime et terrestre Low
-	Equipements médicaux d’urgences :
•	plateau technique et personnels au niveau ex provinciaux insuffisant, kits d’urgence au niveau hospitalier  insuffisant
•	Transport routier : extincteur  non fonctionnel, kit d’urgence non disponible/inadéquat
-	Capacité de détection/diagnostic et de prévention en toute sécurité : 
•	transport routier non fiable (voiture passant aux visites techniques mais non fiable)
-	Soutien opérationnel et logistique : SURECa et points focaux non spécifique aux accidents de transports
-	Sensibilisation du public et engagement communautaire :
	Transport fluviale et maritime côtière : 
•	Equipement de protection individuel, consigne de sécurité inexistant 
-	Cartographie et renforcement des capacités à tous les points :
	Transport routier : 
•	Cartographie des zones accidentogènes et renforcement des capacités en matière de secourisme/premier soins à tous les points inexistants
",Very low,"_	Plan d’intervention et législation en place : ORSEC existante 
-	Fonds de prévoyance pour les urgences : aérienne, maritime et terrestre existent 
-	Système de surveillance : pour transport aérien et maritime, brigade de sécurité routière, police urbaine existant et fonctionnel
-	Ressources humaines formées, exercées et équipées
-	Exercice de simulation et retour d’expérience (RETEX, SIMEX) spécifiques sur transport aérien, routier, maritime et fluviale existante régulièrement
-	Equipements médicaux d’urgences :
•	pour transport aérien et maritime disponible
•	plateau technique et personnels au niveau ex provinciaux existant , kits d’urgence au niveau hospitalier disponible
•	Transport routier : extincteur disponible , 
-	Capacité de détection/diagnostic et de prévention en toute sécurité : 
•	avion (contrôle, visite avant départ), maritime, météorologie  
-	Etablissement de soins de santé adéquat : CHU, CHRR, CHRD, CSB, DCAMUM
-	Soutien opérationnel et logistique : SURECa et points focaux fonctionnels 
-	Sensibilisation du public et engagement communautaire :
	Transport routier :
•	Sensibilisation médiatique intense à chaque festivité
•	Sensibilisation de routine, panneaux de signalisation existant
	Transport aérien et pour les grands navires :
•	Equipement de protection individuelle existant
•	Consigne de sécurité existant
-	Cartographie et renforcement des capacités à tous les points :
	Transport aérien et maritime :
•	Cartographie des zones accidentogènes et renforcement des capacités en matière de secourisme/premier soins à tous les points existants
",,,,,,Sévère,Bon,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Societal,Societal,Social movements/civil unrest,"(1) Décès, Blessures, traumatisme, invalidité physique, (2) trouble psychologique,  grossesse non desiré, sterilité, IST, sequelles gyneco-obstétricaux
conséquence secondaire: besoin accru de santé mentale et de soutien psycho-social
Le nombre croissant de civils, y compris des femmes et des enfants, a été tué, blessé, traité sans dignité, détenu arbitrairement détenu et / ou séparé de leur famille, abusé sexuel, exposé à la faim et placé à risque accru d'infections
 Dommages  infrastructures sanitaires et fermeture même
 perturbation du système de santé,  abandon de poste  et refus de poste d'affectation des personnels de santé
",National,tout le pays,1.                   14 millions des personnes exposés (50% la population totale),Fortuite,Non,,,,,,,,,,,,,Probable,Modérer,Élevée,"SYSTEME DE SANTE
-	Inaccessibilité/éloignement des formations sanitaires pour le recours aux soins
-	Dépourvu des formations sanitaires
-	Système de secours d’urgence/ Kits de soins d’urgence gratuite à échelle réduite, équipe médicale d’urgence non fonctionnelle
-	Couverture sanitaire universelle limitée au district pilote (Vatomandry)
-	Sécurité sociale des pêcheurs en cours de mise en place (Ministère du travail)
-	Evacuation sanitaire : non gratuite, inexistante
RESSOURCES (humaine, matérielle, financière)
-	Personnel de santé insuffisant (généraliste, urgentiste, secouriste, réanimateurs, ambulanciers, …
-	Matériels, infrastructures non disponibles et/ou insuffisants et/ou défectueux
-	Poste sanitaire mobile non disponible
-	Low leadership, coordination et centre des opérations d’urgence (surtout préparation et briefing)
-	ORSEC  non spécifique
-	Fonds de prévoyance pour les urgences inexistantes 
-	Ressources humaines locales non formées, non exercées et non équipées 
-	Exercice de simulation et retour d’expérience (RETEX, SIMEX) : inexistantes
-	Equipements médicaux d’urgences :
•	Plateau technique et personnels au niveau ex provinciaux , kits d’urgence au niveau hospitalier  insuffisant
-	Redéploiement des personnels de santé non proportionnel en fonction de leurs spécialités et capacités (refus de poste d’affectation)
",Low,"_	Equipements médicaux d’urgences :
•	Plateau technique et personnels au niveau ex provinciaux existant , kits d’urgence au niveau hospitalier disponible 
-	Disponibilité des ambulances mobilisable (commune, hôpitaux, DCAMUM, DVSSER)
-	Plan d’intervention et législation en place : ORSEC existante 
-	Equipements médicaux d’urgences :
•	Plateau technique et personnels au niveau ex provinciaux existant 
-	Etablissement de soins de santé adéquat : CHU, CHRR, CHRD, CSB, DCAMUM, DVSSER, Service d’Equipe Mobile d’Intervention (SEMI au niveau des régions)
-	Soutien opérationnel et logistique : SURECa et points focaux fonctionnels 
-	Sensibilisation du public et engagement communautaire :
•	Au niveau des zones rouges : sensibilisation par les forces de défenses et de sécurité (FDS) pour éviter les conflits sociaux et pour gérer les conflits
- VOAMAMY (caisse communautaire) pour évacuation sanitaire d’urgence des patients au niveau des zones rurales pilotes de l’ACCESS (Vatovavy et Fitovinany)",,,,,,Sévère,Satisfaisant,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Societal,Societal,"Insecurity (abduction, drugs, dahalo, GBV, violence)","1. impact psychologique: dépendance, accoutumance,                                     2. impact physique: décès, traumatisme et blessure,                     3: maladies IST, hemmoragie               4. perturbation du systme de santé    5. Dommages  infrastructures sanitaires voire fermeture ,décès des personnels de santé
6. perturbation du système de santé, 7. abandon de poste  et refus de poste d'affectation des personnels de santé, décès des personnels dee Santé",National,tout le pays,1.                   23 millions des populations sont exposés (80% de la population totale),Pérenne,Oui,3,2,1,3,4,3,4,4,3,3,4,4,Presque sûr,Low,Very highe,"SYSTEME DE SANTE
-	Inaccessibilité/éloignement des formations sanitaires pour le recours aux soins
-	Dépourvu des formations sanitaires
-	Système de secours d’urgence/ Kits de soins d’urgence gratuite à échelle réduite, équipe médicale d’urgence non fonctionnelle
-	Couverture sanitaire universelle limitée au district pilote (Vatomandry)
-	Sécurité sociale des pêcheurs en cours de mise en place (Ministère du travail)
-	Evacuation sanitaire : non gratuite, inexistante -Personnel de santé insuffisant (généraliste, urgentiste, secouriste, réanimateurs, ambulanciers, …
-	Matériels, infrastructures non disponibles et/ou insuffisants et/ou défectueux
-	Poste sanitaire mobile non disponible
-	Low leadership, coordination et centre des opérations d’urgence (surtout préparation et briefing)
-	ORSEC  non spécifique 
-	Fonds de prévoyance pour les urgences inexistantes  
-	Ressources humaines locales non formées, non exercées et non équipées 
-	Exercice de simulation et retour d’expérience (RETEX, SIMEX) : inexistantes
-	Equipements médicaux d’urgences :
•	Plateau technique et personnels au niveau ex provinciaux , kits d’urgence au niveau hospitalier  insuffisant
-	Redéploiement des personnels de santé non proportionnel en fonction de leurs spécialités et capacités (refus de poste d’affectation)",Low,"_ Système de surveillance : renseignements généraux au niveau des forces de défenses et de sécurité fonctionnels  
-	Equipements médicaux d’urgences :
•Plateau technique et personnels au niveau ex provinciaux existant , kits d’urgence au niveau hospitalier disponible [@[Coping capacity]]
-	Disponibilité des ambulances mobilisable (commune, hôpitaux, DCAMUM, DVSSER)
-	Plan d’intervention et législation en place : ORSEC existante 
-	Equipements médicaux d’urgences :
•	Plateau technique et personnels au niveau ex provinciaux existant 
-	Etablissement de soins de santé adéquat : CHU, CHRR, CHRD, CSB, DCAMUM, DVSSER, Service d’Equipe Mobile d’Intervention (SEMI au niveau des régions)
-	Soutien opérationnel et logistique : SURECa et points focaux fonctionnels 
-	Sensibilisation du public et engagement communautaire :
•	Au niveau des zones rouges : sensibilisation par les forces de défenses et de sécurité (FDS) pour éviter les conflits sociaux et pour gérer les conflits
- VOAMAMY (caisse communautaire) pour évacuation sanitaire d’urgence des patients au niveau des zones rurales pilotes de l’ACCESS (Vatovavy et Fitovinany)",,,,,,Sévère,Bon,Very high,5,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Technological,Technological,Chemical Hazards,"(1) conséquences immédiates : intoxications, apparition d'allergies, atteintes des organes (appareil respiratoire, système digestif, peau et muqueuse), décès

(2) conséquences secondaires : affaiblissement du système immunitaire, cancer (sang, foie, testicule, sein), problème de fertilité, anomalie congénitale, effets sur le développement mental, cognitif ou physique de l'enfant, troubles du système cariovasculaire, effets mutagènes (perturbation endocrinienne), décès

(3) pertubation du système de santé (non-disponibilité des antidotes de façon permanente, )",Sous-national,"Alarotra mangoro,Amoron'i Mania,Analamanga,Anosy,Atsinanana,Betsiboka,Boeni,Bongolava,Diane,Haute-Matsiatra,Ihorombe,Itasy,Mélange,Menabé,Sofia,Sud-Est,Sud-Ouest,Vakinankaratra,VatovaVy FitoVinany","(1) Groupes de population exposée : Plus de 80% de la population notamment la Population vivant près des décharges sauvages/mines/industries, Travailleurs, Agriculteurs et leurs familles, Personnel de santé (agents pulvérisateurs, laborantins, personnel dans les services radiologies), Consommateurs 

(2) Nombre de population totale exposée : 22 191 150",Pérenne,Oui,3,3,3,3,2,2,2,3,4,4,3,3,Presque sûr,Low,Élevée,"• Facteurs physiques : personnes vivant avec des tares, personnes immunodeficientes, femmes, femmes enceintes, enfants, agents de santé, mésusage des pesticides, non port des EPI, 
• Facteurs socio-économiques : alphabétisation, travailleurs (agriculture, industrie, mine, santé, ...), chiffoniers, manque de budget de l'Etat alloué à la gestion sectorielle des produits chimiques, corruption (douane)
• Facteurs environnementaux : lacunes des réglementations des produits chimiques, non application de la loi, problème d'assainissement et gestion des déchets chimiques, caractères persistants des produits chimiques dans l'environnement, proximité des établissements industriels/décharges/mines à risque, insécurité alimentaire, insuffisance des matériels et équipements de laboratoire pour la détection de certains produits chimiques
• Vulnérabilité du système de santé : inexistence de centre antipoison, absence d'assurance santé, accessibilité limitée aux soins médicaux (disponibilité antidotes, ), insuffisance de sensbilisation sur les risques liés à l'utilisation ou exposition aux produits chimiques, insuffisance de personnel formés en matière de toxicologie/écotoxicologie/gestion des produits et déchets chimiques, insuffisance des capacités des laboratoires
",Low,"Workforce / Finance / Fourniture:
• Collaboration effective entre les Ministères en charge de la santé et de l'environnement, existence des cellules environnementales sectorielles mobilisables pour des activités de gestion d'urgence chimique, comités intersectoriels de mise en oeuvre du décret MECIE fonctionnels (ONE et tous les secteurs), Volet risque chimique intégré dans le Plan d'Action National de Sécurité Sanitaire
• Existence de ressources humaines (urgentistes, réanimateurs)
Système de santé:
• Existence d'établissements de santé à tous les niveaux
• Existence de système de surveillance effectif (DVSSER), évaluation de la conformité sanitaire des produits chimiques utilisés par les sociétés utilisant les produits chimiques (SSEnv)
Communauté:
• Existence d'acteurs communautaires

Plan d'urgence:
• existence de soutien opérationnel et logistique (BNGRC/SURECa), existence de COUSP à tous les niveaux, POS sur la gestion accidents chimiques en cours d'élaboration
Les autres:
• Existence de cadres juridiques sur les produits chimiques, existence du projet d'Observatoire national sur les produits chimiques (ChemObs), existence de documents de référence sur les produits chimiques (cartographie des risques, évaluation de la vulnérabilité, coût de l'inaction), existence de personnes ressources formées sur la détection des produits chimiques au niveau du Centre National de Recherche sur l'Environnement  ",,,,,,Modérer,Satisfaisant,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Environmental,Environmental,Air pollution,"(1) conséquences immédiates: maladies respiratoires, allergies, détresse respiratoire

(2) conséquences secondaires : cancer (poumons, peau), troubles cardiovasculaires, trouble de développement mental des enfants,décès

",Sous-national,"Antananarivo, Toamasina, Antsirabe, Toliara, Fianarantsoa, Mahajanga, Antsiranana","(1) Groupe de population : population dans les agglomérations urbaines (bordures des routes, flux important de circulation), enfants, femmes enceintes, travailleurs, confectionneurs de briques en terres cuites

(2) Nombre de population totale exposée : 4 942 900 ",Pérenne,Oui,3,2,2,2,3,3,3,3,4,4,4,3,Presque sûr,Low,Élevée,"• Facteurs physiques : personnes vivant avec des tares, femmes enceintes, enfants, défaillance des vistes techniques des véhicules (corruption),  importation et utilisation de véhicules polluants, prise de conscientce des autorités sur l’importance de la gestion de la pollution de l’air  
• Facteurs socio-économiques : manque de dispositifs de surveillance de la qualité de l'air,  sensibilisation du grand public sur les risques et conduite à tenir face à la pollution de l’air  
• Facteurs environnementaux : non application de la loi, problème d'assainissement et gestion des déchets, proximité des établissements publics (hôpitaux, écoles) à risque, surpeuplement,  insuffisance de capteurs dans toute les grandes villes  
• Vulnérabilité du système de santé : accessibilité limitée aux soins, insuffisance de sensbilisation sur les risques liés à la pollution de l'air,  lacunes dans la mise en œuvre du Plan d’Action en Santé et Pollution, surveillance hospitalière des maladies liées à la pollution de l’air",Low,"Workforce / Finance / Fourniture:
• Existence de comité adhoc pollution de l'air, existence du bulletin de surveillance, Installation des six capteurs d’air dans la capitale, Surveillance de  la qualité de l’air et diffusion du bulletin de la qualité de l’air d’Antananarivo, Diffusion télévisée sur la chaine nationale du bulletin de la qualité de l’air toute en tenant compte les messages clés élaborés par le MSANP, recherches effectuées par l'INSTN relatives à la pollution de l'air
•
 Existence du TaskForce de lutte contre la pollution,     
Système de santé:
• 
 Elaboration du Plan d’Actions en matière de Pollution et Santé
•
  Elaboration des messages clés sur les conduites à tenir par rapport à la qualité de l’air, Elaboration d’une note ministérielle relative aux mesures sanitaires liées à la pollution
Communauté:
•
•
Plan d'urgence:
• 
•
Les autres:
• 
Elaboration d’un plan action de lutte contre la pollution atmosphérique face au pic de pollution de l’air en 2021 dans la ville d’Antananarivo 
•",,,,,,Modérer,Insatisfaisant,High,4,1
27,Madagascar,National,2022,7/18/2022,7/22/2022,Other Infectious hazards,Other Infectious hazards,Antimicrobial resistant microorganisms (AMR),"(1) conséquences immédiates: contamination du personnel et des usagers des formations sanitaires (infections associées aux soins), hospitalisation prolongée (11 jours en moyenne), mortalité (2 à 3 fois plus élevé en cas d'nfections résistantes aux antibiotiques)

(2) conséquences secondaires: dysfonctionnement des organes vitaux, incapacité à travailler, hausse du coût de traitement",National,Madagascar,"(1) Groupe de population : toute la population 

(2) Nombre de population : 25 674 196",Pérenne,Oui,4,4,4,3,3,3,3,3,3,3,3,2,Presque sûr,Modérer,Élevée,"•systeme de santé: 

• capacité limitée des laboratoires en antibiogramme, antibiogramme non couvert à la CSU, inexistence du plan spécifique d'intervention en cas d'épidémie de RAM , Personnel formé en surveillance et riposte insuffisant

•Facteurs socio-économique: revenu des ménages, chômage                                                                                                             

•Facteurs physiques: toute tranche d'âge, automédication (64% en 2010), déficence immunitaire",Low,"Workforce / Finance / Fourniture:

•existence de plan de communication sur la promotion de comportements sains en matière d'intrant de santé, existence de plan d'action national pour combattre la RAM, existence de comité multisectorielle de coordination de la lutte contre la RAM

•Soutien financier et logistique(PCI) existant, PTF nombreux

Système de santé:

•RAM intégrée dans le Plan d'Action National de Sécurité Sanitaire (PANSS), existence du protocole de surveillance de la RAM disponible

•Huit (08) laboratoires ayant la capacité de détectition, il n'y a pas de structure dediée à la lutte contre la RAM

Communauté:

•Plan adopté au niveau gouvernent

Les autres:

Plateforme de collaboration multisectorielle fonctionnelle",,,,,,Sévère,Satisfaisant,Very High,5,1
